(7, 8) (6, 9) (5, 10) (4, 11) (3, 12) (2, 13) (1, 14) (0, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (0, 9) (11, 12) (13, 14) (10, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (0, 9) (11, 12) (10, 13) (14, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (0, 9) (10, 11) (13, 14) (12, 15)
(4, 5) (3, 6) (2, 7) (1, 8) (0, 9) (10, 11) (12, 13) (14, 15)
(3, 4) (8, 9) (7, 10) (6, 11) (5, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (7, 8) (9, 10) (6, 11) (5, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (7, 8) (6, 9) (10, 11) (5, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (7, 8) (6, 9) (5, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (7, 8) (6, 9) (5, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (7, 8) (6, 9) (5, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (7, 8) (6, 9) (5, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (6, 7) (9, 10) (8, 11) (5, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (8, 9) (10, 11) (5, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (8, 9) (5, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (8, 9) (5, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (8, 9) (5, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (6, 7) (8, 9) (5, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (6, 7) (5, 8) (10, 11) (9, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (9, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (9, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (9, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (9, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (6, 7) (5, 8) (2, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (5, 6) (9, 10) (8, 11) (7, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (8, 9) (10, 11) (7, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (8, 9) (7, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (8, 9) (7, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (8, 9) (7, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (8, 9) (7, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (7, 8) (10, 11) (9, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (9, 10) (11, 12) (2, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (9, 10) (2, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (9, 10) (2, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (9, 10) (2, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (5, 6) (7, 8) (2, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (10, 11) (9, 12) (8, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (9, 10) (11, 12) (8, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (9, 10) (8, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (9, 10) (8, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (9, 10) (8, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (5, 6) (2, 7) (8, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (11, 12) (10, 13) (9, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (10, 11) (12, 13) (9, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (10, 11) (9, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (10, 11) (9, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (9, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (9, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (9, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (9, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (9, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (0, 9) (12, 13) (11, 14) (10, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (0, 9) (11, 12) (13, 14) (10, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (0, 9) (11, 12) (10, 13) (14, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (0, 9) (10, 11) (13, 14) (12, 15)
(3, 4) (5, 6) (2, 7) (1, 8) (0, 9) (10, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (9, 10) (8, 11) (7, 12) (6, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (8, 9) (10, 11) (7, 12) (6, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (8, 9) (7, 10) (11, 12) (6, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (8, 9) (7, 10) (6, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (8, 9) (7, 10) (6, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (8, 9) (7, 10) (6, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (7, 8) (10, 11) (9, 12) (6, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (9, 10) (11, 12) (6, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (9, 10) (6, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (9, 10) (6, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (9, 10) (6, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (7, 8) (6, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (10, 11) (9, 12) (8, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (9, 10) (11, 12) (8, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (9, 10) (8, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (9, 10) (8, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (9, 10) (8, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (11, 12) (10, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (10, 11) (12, 13) (1, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (10, 11) (1, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (10, 11) (1, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (1, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (1, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (1, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (1, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (6, 7) (8, 9) (1, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (11, 12) (10, 13) (9, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (10, 11) (12, 13) (9, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (10, 11) (9, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (10, 11) (9, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (9, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (9, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (9, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (9, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (9, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (0, 9) (12, 13) (11, 14) (10, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (0, 9) (11, 12) (13, 14) (10, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (0, 9) (11, 12) (10, 13) (14, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (0, 9) (10, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (6, 7) (1, 8) (0, 9) (10, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (10, 11) (9, 12) (8, 13) (7, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (9, 10) (11, 12) (8, 13) (7, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (9, 10) (8, 11) (12, 13) (7, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (9, 10) (8, 11) (7, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (9, 10) (8, 11) (7, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (11, 12) (10, 13) (7, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (10, 11) (12, 13) (7, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (10, 11) (7, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (10, 11) (7, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (7, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (7, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (7, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (7, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (1, 6) (8, 9) (7, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (11, 12) (10, 13) (9, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (10, 11) (12, 13) (9, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (10, 11) (9, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (10, 11) (9, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (9, 10) (12, 13) (11, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (9, 10) (11, 12) (13, 14) (0, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (9, 10) (11, 12) (0, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (9, 10) (0, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (9, 10) (0, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (0, 9) (12, 13) (11, 14) (10, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (0, 9) (11, 12) (13, 14) (10, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (0, 9) (11, 12) (10, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (0, 9) (10, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (1, 6) (7, 8) (0, 9) (10, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (11, 12) (10, 13) (9, 14) (8, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (10, 11) (12, 13) (9, 14) (8, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (10, 11) (9, 12) (13, 14) (8, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (10, 11) (9, 12) (8, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (9, 10) (12, 13) (11, 14) (8, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (9, 10) (11, 12) (13, 14) (8, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (9, 10) (11, 12) (8, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (9, 10) (8, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (9, 10) (8, 11) (12, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (8, 9) (12, 13) (11, 14) (10, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (8, 9) (11, 12) (13, 14) (10, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (8, 9) (11, 12) (10, 13) (14, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (8, 9) (10, 11) (13, 14) (12, 15)
(3, 4) (2, 5) (1, 6) (0, 7) (8, 9) (10, 11) (12, 13) (14, 15)
(2, 3) (8, 9) (7, 10) (6, 11) (5, 12) (4, 13) (1, 14) (0, 15)
(2, 3) (7, 8) (9, 10) (6, 11) (5, 12) (4, 13) (1, 14) (0, 15)
(2, 3) (7, 8) (6, 9) (10, 11) (5, 12) (4, 13) (1, 14) (0, 15)
(2, 3) (7, 8) (6, 9) (5, 10) (11, 12) (4, 13) (1, 14) (0, 15)
(2, 3) (7, 8) (6, 9) (5, 10) (4, 11) (12, 13) (1, 14) (0, 15)
(2, 3) (7, 8) (6, 9) (5, 10) (4, 11) (1, 12) (13, 14) (0, 15)
(2, 3) (7, 8) (6, 9) (5, 10) (4, 11) (1, 12) (0, 13) (14, 15)
(2, 3) (6, 7) (9, 10) (8, 11) (5, 12) (4, 13) (1, 14) (0, 15)
(2, 3) (6, 7) (8, 9) (10, 11) (5, 12) (4, 13) (1, 14) (0, 15)
